,DateTime,Grammys 2021,Drew Brees,Megan Thee Stallion,Dua Lipa,BTS,Justin Thomas,Doja Cat,Zack Snyder's Justice League,Ides of March,Oscar Nominations 2021,Bruno Mars,Marvin Hagler,Kirk Franklin,Billie Eilish,Warriors,Juventus,Helen Storey,Bad Bunny,Blaze Pizza,CBS Sports,Miranda Lambert,Brittany Howard,Maren Morris,Time,Jennifer Lopez,#MondayMotivation,Beyoncé,Catholic Church,#GRAMMYs,Megan,Woody Allen,Lil Baby,Patriots,Vatican,Doja,Mank,Chivas,Corey Davis,#OscarNoms,namjoon,Sound of Metal,#mondaythoughts,Julius Caesar,Silk Sonic,AOTY,Best Picture,Gen X,John Oliver,Pats,Lakeith
0,2021-03-12 00:00:00,2,1,2,2,17,1,6,6,8,1,4,0,1,8,11,2,0,10,19,0,1,0,1,78,4,0,8,52,0,20,21,8,13,29,6,1,1,1,0,68,5,0,33,2,2,46,53,31,37,12
1,2021-03-12 01:00:00,2,1,2,2,18,0,6,5,9,1,4,0,1,9,12,2,0,10,19,0,1,0,1,72,4,0,7,49,0,19,20,8,13,33,6,1,2,1,0,75,6,0,38,2,2,48,50,34,30,12
2,2021-03-12 02:00:00,2,1,2,2,20,0,6,4,7,2,4,0,1,9,21,2,0,11,16,0,1,0,1,69,4,0,5,48,0,19,20,9,12,29,6,1,2,1,0,80,10,0,46,2,1,47,53,35,24,13
3,2021-03-12 03:00:00,2,1,2,2,22,0,5,4,8,2,4,2,1,8,47,2,0,11,12,0,1,0,1,70,4,33,6,43,0,18,28,8,11,28,6,1,2,1,0,85,13,0,43,2,2,84,45,33,20,11
4,2021-03-12 04:00:00,1,1,2,2,22,0,6,3,6,1,3,0,1,8,53,2,0,11,9,0,1,0,1,68,3,0,4,37,0,16,22,8,8,28,6,1,2,1,0,70,9,0,37,2,2,65,37,33,16,16
5,2021-03-12 05:00:00,1,0,2,2,21,0,6,4,4,1,3,0,1,7,56,2,0,8,6,0,1,0,0,62,3,33,4,27,0,14,14,6,5,27,6,1,1,0,0,73,5,0,29,2,3,53,27,25,13,11
6,2021-03-12 06:00:00,1,0,1,2,19,0,4,3,3,1,3,0,1,6,24,2,0,5,3,0,0,0,0,55,3,0,4,20,0,11,12,5,3,28,4,1,1,0,0,66,5,0,21,1,2,39,27,19,12,8
7,2021-03-12 07:00:00,1,0,1,2,18,0,3,2,3,1,2,0,0,5,15,2,0,3,2,0,0,0,0,50,2,0,3,15,0,11,7,3,2,24,4,1,1,0,0,53,3,28,20,1,2,32,19,13,9,6
8,2021-03-12 08:00:00,1,0,1,2,18,0,3,2,3,0,2,0,0,5,11,2,0,3,1,0,0,0,0,48,2,0,3,14,0,10,6,3,2,25,3,1,0,0,0,49,3,0,20,1,2,29,16,11,10,5
9,2021-03-12 09:00:00,0,0,1,2,18,0,3,2,3,0,2,0,0,5,9,2,0,2,1,0,0,0,0,44,2,0,3,16,0,9,5,2,2,24,3,1,0,0,0,42,3,0,19,1,1,27,15,10,10,3
10,2021-03-12 10:00:00,0,0,1,2,18,0,3,1,2,1,2,0,0,5,9,2,0,2,1,0,0,0,0,45,2,0,3,14,0,9,5,2,3,26,3,1,0,0,0,47,3,0,18,1,1,27,15,10,10,4
11,2021-03-12 11:00:00,1,0,1,2,18,0,3,1,4,1,2,0,1,5,9,2,0,2,1,0,0,0,0,47,2,0,3,19,0,10,5,2,5,29,3,1,0,0,0,47,3,0,17,1,2,32,16,12,12,4
12,2021-03-12 12:00:00,1,0,1,2,19,0,3,1,5,1,2,0,1,5,9,2,0,3,2,0,0,0,0,53,3,21,4,22,0,10,6,3,6,25,3,1,0,0,0,49,3,0,21,1,1,40,18,12,13,4
13,2021-03-12 13:00:00,1,0,1,2,18,0,3,1,7,1,3,0,1,5,9,2,0,3,2,0,1,0,0,54,2,19,4,28,0,10,6,3,25,24,3,1,1,0,0,49,2,0,29,1,1,43,20,14,25,4
14,2021-03-12 14:00:00,1,0,1,2,18,0,4,1,7,1,2,0,1,6,8,2,0,4,4,0,0,0,0,55,3,0,4,35,0,11,7,3,23,27,4,1,1,0,0,51,4,0,29,1,2,45,22,14,25,6
15,2021-03-12 15:00:00,1,1,1,2,17,0,4,2,6,1,3,0,1,6,8,2,0,4,5,0,0,0,0,54,3,19,4,38,0,11,7,4,19,26,4,1,1,0,0,53,4,0,30,1,2,42,21,14,27,5
16,2021-03-12 16:00:00,1,1,1,2,14,0,4,2,7,1,3,0,1,6,7,2,0,5,9,0,1,0,0,54,3,0,5,40,0,12,7,4,17,27,4,1,1,0,0,49,4,0,32,1,2,46,22,16,29,7
17,2021-03-12 17:00:00,1,1,1,2,13,0,4,2,7,1,3,0,1,7,7,3,0,5,10,0,1,0,0,53,4,0,5,41,0,13,8,5,17,28,5,1,1,0,0,50,4,0,35,1,2,44,24,16,28,8
